name,length,pt1x,pt1y,pt1z,pt2x,pt2y,pt2z
transom_curves1_004_line_003,2003.49263808645,10048.187400072522,60739.77859304331,3261.2477538010235,10076.13476447888,58739.48251136812,3370.8711150167437
transom_curves1_004_line_004,2014.4333468067246,10801.112601712726,60739.811810020066,4345.4176101309395,10868.247885668705,58739.44796375983,4573.4067435343395
transom_curves1_004_line_005,2033.230451340936,11545.750579801816,60739.839602882836,5435.298043258376,11646.970530259248,58739.41202515789,5784.683355151967
transom_curves1_004_line_006,2058.8908352294916,12270.01556999271,60739.860745314625,6538.659488974855,12412.572442129622,58739.37831866463,7004.25488227583
transom_curves1_004_line_007,2093.3450041452793,13074.524544418848,60739.874012252476,7584.826191396595,13248.701307861158,58739.350466682416,8176.147850966542
transom_curves1_004_line_008,2190.325581046516,14213.807130456187,60739.878244634274,8047.018682389425,14385.369003955137,58739.33201758643,8922.18007778625
transom_curves1_004_line_009,2184.8812954737077,15376.246672072739,60739.87314797033,7429.33478347604,15652.197476930101,58739.32413303753,8263.217909256182
transom_curves1_004_line_010,2162.423262336631,16590.291728335975,60739.85914355762,6915.055205295506,16953.492281209095,58739.32484522301,7651.276805816773
transom_curves1_004_line_011,2145.1074324507663,17858.812333090988,60739.836822376266,6555.64506133422,18314.113691270424,58739.33199041646,7181.8774361767755
transom_curves1_005_line_001,2004.2097689116576,8464.998032918114,58739.53293405482,1000.0000237487226,8337.219683590241,56739.40056562418,1000.0000237487247
transom_curves1_005_line_002,2000.656744416787,9172.396792544998,58739.51435572878,2087.0856427978147,9192.477020368568,56739.40056562415,2129.1453630086853
transom_curves1_005_line_003,2007.098663812857,9931.366438599558,58739.48836021241,3152.717700002008,9967.69026784161,56739.40056562425,3316.3466694665476
transom_curves1_005_line_004,2019.4196201433838,10655.052140166445,58739.45767621737,4243.587537127378,10729.770681850698,56739.400565624404,4512.370527874849
transom_curves1_005_line_005,2036.9405554120856,11363.83265858373,58739.425026042896,5344.197278318001,11491.847607237589,56739.40056562423,5708.396615125013
transom_curves1_005_line_006,2059.787251548079,12066.184688957514,58739.39313174653,6448.889066354796,12253.943626823988,56739.40056562414,6904.410567874122
transom_curves1_005_line_007,2091.777670564711,12784.472630974527,58739.36471526135,7542.645798779037,12972.807833801864,56739.40056562423,8125.918526253408
transom_curves1_005_line_008,2117.9203764206136,13578.025747517837,58739.342497206264,8582.357804658737,13828.012159377731,56739.400565624244,9232.992713838248
transom_curves1_005_line_009,2138.6494567174573,14758.391886338019,58739.32889223564,8807.78158076961,15200.444817606014,56739.40056562407,9423.165520348719
transom_curves1_005_line_010,2214.975180130875,15877.604839448728,58739.32368582175,8130.271639419434,16492.056818795543,56739.400565624186,8857.507039391014
transom_curves1_005_line_011,2208.869446542462,17074.936539606377,58739.325261735845,7602.4055495807215,17765.964957690383,56739.400565624266,8236.349685252097
transom_curves1_005_line_012,2214.5530883240763,18314.113691270424,58739.33199041646,7181.8774361767755,19090.231810564066,56739.40056562503,7731.568569488497
transom_curves1_006_line_001,4760.300802099238,8337.219683590241,56739.40056562418,1000.0000237487247,12656.995420265175,54739.40023779891,1000.0000237487229
transom_curves1_006_line_002,4251.741712805261,9119.826767930354,56739.40056562416,2035.9399014058292,12871.25185191072,54739.40023779864,1971.7829034325348
transom_curves1_006_line_003,4028.1170808126367,9840.675350206102,56739.400565624346,3117.0102991586036,13327.784385826653,54739.400237798625,2860.5020553826284
transom_curves1_006_line_004,3863.0787958671326,10539.251858137819,56739.4005656244,4213.363741509302,13809.733530648073,54739.400237798734,3736.5764707584644
